               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046096,            0.011933,            0.026558,             0.79851,             0.82328,             0.82551,             0.52531,            0.025928,           0.0057457,           0.0050839,           0.0033329,           0.0033329,            0.070004
                   1,            0.035902,           0.0087809,           0.0078218,             0.82121,             0.86405,             0.85849,             0.57363,            0.023111,            0.005294,           0.0029909,           0.0066498,           0.0066498,            0.039987
                   2,            0.035068,           0.0091941,           0.0078848,             0.81406,             0.87451,              0.8668,             0.58619,            0.022822,            0.005231,           0.0022814,           0.0099013,           0.0099013,           0.0099052
                   3,            0.032509,           0.0088678,           0.0064562,             0.83839,             0.87679,              0.8795,             0.62348,            0.020836,            0.004847,           0.0016912,           0.0097798,           0.0097798,           0.0097798
                   4,             0.02993,           0.0083107,           0.0049386,             0.84021,             0.90591,             0.89808,             0.65142,            0.019372,           0.0046179,           0.0013599,           0.0097798,           0.0097798,           0.0097798
                   5,            0.028427,           0.0080251,           0.0044473,             0.84205,             0.90893,             0.90751,             0.67326,            0.018822,           0.0045257,           0.0011846,            0.009611,            0.009611,            0.009611
                   6,            0.027378,            0.007832,           0.0040225,             0.84543,             0.91632,             0.91179,             0.68272,            0.018111,           0.0043966,           0.0010197,           0.0093971,           0.0093971,           0.0093971
                   7,            0.026705,           0.0076449,           0.0037465,             0.84973,             0.91883,             0.91718,              0.6894,            0.017999,           0.0043402,          0.00096225,           0.0091406,           0.0091406,           0.0091406
                   8,            0.026326,           0.0075949,           0.0036455,             0.84424,             0.92735,             0.91798,             0.69669,            0.017404,           0.0042791,          0.00091634,           0.0088442,           0.0088442,           0.0088442
                   9,            0.025579,           0.0074499,           0.0034862,             0.85115,             0.92328,             0.92049,             0.70126,            0.017128,            0.004236,          0.00086272,           0.0085111,           0.0085111,           0.0085111
                  10,            0.025176,           0.0073217,           0.0032555,             0.84835,             0.92925,             0.92259,             0.70672,            0.016906,           0.0041962,           0.0008196,            0.008145,            0.008145,            0.008145
                  11,            0.024491,           0.0072228,           0.0030418,             0.84279,             0.93551,             0.92477,             0.70988,            0.016755,           0.0041648,          0.00079089,             0.00775,             0.00775,             0.00775
                  12,            0.024281,           0.0071484,           0.0029816,             0.84687,             0.93224,             0.92559,             0.71185,            0.016629,           0.0041297,          0.00076789,           0.0073303,           0.0073303,           0.0073303
                  13,            0.023828,           0.0070633,            0.002826,             0.84481,             0.93557,             0.92635,             0.71385,            0.016517,           0.0041035,          0.00075211,           0.0068906,           0.0068906,           0.0068906
                  14,            0.023143,           0.0068741,           0.0025886,             0.84119,             0.93924,             0.92763,             0.71641,            0.016408,           0.0040804,          0.00073627,           0.0064356,           0.0064356,           0.0064356
                  15,            0.023021,           0.0068311,           0.0025288,             0.84739,             0.93387,              0.9286,              0.7184,            0.016306,           0.0040568,           0.0007196,           0.0059704,           0.0059704,           0.0059704
                  16,            0.022528,           0.0067378,           0.0024375,             0.84715,             0.93423,             0.92933,             0.72113,             0.01621,           0.0040329,          0.00070091,              0.0055,              0.0055,              0.0055
                  17,            0.022037,           0.0066445,           0.0022548,              0.8449,             0.93737,              0.9306,             0.72331,            0.016109,           0.0040096,          0.00068388,           0.0050296,           0.0050296,           0.0050296
                  18,            0.021661,           0.0065179,            0.002125,             0.84513,             0.93732,              0.9314,             0.72547,            0.016013,           0.0039851,          0.00066553,           0.0045644,           0.0045644,           0.0045644
                  19,            0.021227,           0.0064142,           0.0020026,             0.84866,             0.93339,             0.93269,             0.72771,            0.015913,           0.0039592,          0.00064779,           0.0041094,           0.0041094,           0.0041094
                  20,            0.020813,           0.0063122,           0.0018803,              0.8509,             0.93296,             0.93366,             0.72959,            0.015809,           0.0039305,          0.00063102,           0.0036697,           0.0036697,           0.0036697
                  21,            0.020416,           0.0062629,           0.0018154,               0.856,             0.92741,             0.93458,             0.73202,            0.015713,           0.0039028,          0.00061451,             0.00325,             0.00325,             0.00325
                  22,            0.020016,           0.0061718,           0.0016941,             0.85742,              0.9278,             0.93563,             0.73436,             0.01561,           0.0038757,          0.00059319,            0.002855,            0.002855,            0.002855
                  23,            0.019684,           0.0060726,           0.0015886,             0.85873,             0.92845,             0.93658,             0.73711,            0.015507,           0.0038464,          0.00057314,           0.0024889,           0.0024889,           0.0024889
                  24,            0.019138,           0.0059221,           0.0013817,             0.85526,             0.93457,             0.93758,             0.73972,            0.015399,           0.0038146,          0.00055343,           0.0021558,           0.0021558,           0.0021558
                  25,             0.01874,           0.0058709,           0.0013378,             0.85483,             0.93818,             0.93863,             0.74222,             0.01529,           0.0037837,          0.00053524,           0.0018594,           0.0018594,           0.0018594
                  26,            0.018426,           0.0057514,           0.0012503,             0.85675,             0.93746,             0.94007,             0.74496,            0.015183,           0.0037544,          0.00051572,           0.0016029,           0.0016029,           0.0016029
                  27,            0.018151,              0.0057,           0.0011445,             0.86855,             0.92546,             0.94107,             0.74773,            0.015077,           0.0037265,          0.00049581,            0.001389,            0.001389,            0.001389
                  28,            0.017922,           0.0056354,           0.0011431,             0.86933,             0.92718,             0.94196,             0.75011,            0.014968,           0.0037007,          0.00047648,           0.0012202,           0.0012202,           0.0012202
                  29,            0.017702,           0.0056035,           0.0011227,             0.87099,             0.92862,             0.94312,             0.75265,             0.01487,           0.0036747,          0.00045909,           0.0010983,           0.0010983,           0.0010983
